disease,standardized_disease_name,standardized_disease_name_alt,disease_group,disease_order,disease_family,disease_genus,disease_species,disease_abbreviation,disease_details,disease_details1,disease_details2,disease_vector
enterovirus encephalomyelitis (-2005),enterovirus encephalitis,NA,virus,Picornavirales,Picornaviridae,Enterovirus,NA,NA,RNA,single-stranded,positive-sense,NA
fowl cholera (-2011),avian cholera,"avian pasteurellosis, avian hemorrhagic septicemia",bacteria,Pasteurellales,Pasteurellaceae,Pasteurella,multocida,NA,gram-negative,NA,NA,NA
marek's disease (-2011),marek's disease,NA,virus,Herpesvirales,Orthoherpesviridae,Mardivirus,Gallid alphaherpesvirus 2,MDV,DNA,double-stranded,NA,NA
leptospirosis,leptospirosis,Rat fever,bacteria,Leptospirales,Leptospiraceae,Leptospira,NA,NA,gram-negative,NA,NA,NA
fowl pox (-2005),fowl pox,NA,virus,Chitovirales,Poxviridae,Avipoxvirus,Fowlpox virus,NA,DNA,double-stranded,NA,NA
atrophic rhinitis of swine (-2005),atrophic rhinitis,NA,bacteria,Pasteurellales,Pasteurellaceae,Pasteurella,multocida,NA,gram-negative,NA,NA,NA
duck virus enteritis (-2005),duck viral enteritis,duck plague,virus,Herpesvirales,Orthoherpesviridae,Mardivirus,Anatid alphaherpesvirus 1,MDV,DNA,double-stranded,NA,NA
bacterial kidney disease (renibacterium salmoninarum)(-2006),bacterial kidney disease,NA,bacteria,Micrococcales,Micrococcaceae,Renibacterium,salmoninarum,NA,gram-positive,NA,NA,NA
infectious pancreatic necrosis (-2006),infectious pancreatic necrosis,NA,virus,incertae sedis,Birnaviridae,Aquabirnavirus,Infectious pancreatic necrosis virus,IPNV,RNA,double-stranded,NA,NA
ovine pulmonary adenomatosis (-2005),Ovine pulmonary adenocarcinoma,"ovine pulmonary adenomatosis, jaagsiekte",virus,Ortervirales,Retroviridae,Betaretrovirus,Jaagsiekte sheep retrovirus,VSIV,RNA,single-stranded,NA,NA
oncorhynchus masou virus disease (-2005),oncorhynchus masou virus disease,NA,virus,Herpesvirales,Alloherpesviridae,Salmonivirus,Salmonid herpesvirus 2,SalHV-2,DNA,double-stranded,NA,NA
epizootic lymphangitis (-2005),epizootic lymphangitis,NA,fungus,Onygenales,Ajellomycetaceae,Histoplasma,farciminosum,NA,NA,NA,NA,NA
piscirickettsiosis (piscirickettsia salmonis)(-2005),piscirickettsiosis,NA,bacteria,Thiotrichales,Piscirickettsiaceae,Piscirickettsia,salmonis,NA,gram-negative,NA,NA,NA
mikrocytos roughleyi (inf. with)(-2005),Bonamia ostreae,NA,eukaryote,Haplosporida,Haplosporidiidae,Bonamia,ostrea,NA,rhizaria,NA,NA,NA
spherical baculovirosis (penaeus monodon-type baculovirus)(-2009),spherical baculovirosis,NA,virus,Lefavirales,Baculoviridae,nudivirus,P. monodon baculovirus,PmSNPV,DNA,double-stranded,NA,NA
haplosporidium nelsoni (inf. with)(-2005),MSX,NA,eukaryote,Haplosporida,Haplosporiidae,Haplosporidium,nelsoni,NA,NA,NA,NA,NA
horse pox (-2005),camelpox,NA,virus,Chitovirales,Poxviridae,Orthopoxvirus,Horsepox virus,HSPV,DNA,double-stranded,NA,NA
tilapia lake virus (inf. with) (2023-),tilapia lake disease,NA,virus,Articulavirales,Amnoonviridae,Tilapinevirus,Tilapia tilapinevirus,TiLV,RNA,single-stranded,negative-sense,NA
tetrahedral baculovirosis (baculovirus penaei)(-2009),tetrahedral baculovirosis,NA,virus,Lefavirales,Baculoviridae,Nucleopolyherdovirus,Baculovirus penaei,NA,DNA,double-stranded,NA,NA
tilapia lake virus (inf. with),tilapia lake disease,NA,virus,Articulavirales,Amnoonviridae,Tilapinevirus,Tilapia tilapinevirus,TiLV,RNA,single-stranded,negative-sense,NA
