taxon,standardized_taxon_name,common_name,taxon_class,taxon_order,taxon_family,taxon_genus,taxon_species,notes
freshwater drum (aplodinotus grunniens):sciaenidae-farmed fish,fish,freshwater drum,actinopterygii,acanthuriformes,sciaenidae,aplodinotus,grunniens,
aplodinotus grunniens,fish,freshwater drum,actinopterygii,acanthuriformes,sciaenidae,aplodinotus,grunniens,
aplodinotus grunniens (fau),fish,freshwater drum,actinopterygii,acanthuriformes,sciaenidae,aplodinotus,grunniens,
channa aurantimaculata,fish,orangespotted snakehead,actinopterygii,anabanthiformes,channidae,channa,aurantimaculata,
rachycentron canadum,fish,cobia,actinopterygii,carangiformes,Rachycentridae,rachycentron,canadum,
seriola dumerili,fish,greater amberjack,actinopterygii,carangiformes,carangidae,seriola,dumerili,
african pike (hepsetus odoe (fau)):hepsetidae-wild fish,fish,african pike characin,actinopterygii,characiformes,hepsetidae,hepsetus,odoe,
hepsetus odoe (fau),fish,african pike characin,actinopterygii,characiformes,hepsetidae,hepsetus,odoe,
redbreast tilapia (tilapia rendalli (fau)):cichlidae-wild fish,fish,redbreast tilapia,actinopterygii,cichliformes,cichlidae,coptodon,rendalli,
tilapia rendalli (fau),fish,redbreast tilapia,actinopterygii,cichliformes,cichlidae,coptodon,rendalli,genus updated to coptodon
tilapia (oreochromis spp (fau)):cichlidae-wild fish,fish,,actinopterygii,cichliformes,cichlidae,oreochromini,,
tilapia (oreochromis spp):cichlidae-farmed fish,fish,,actinopterygii,cichliformes,cichlidae,oreochromini,,
oreochromis spp,fish,,actinopterygii,cichliformes,cichlidae,oreochromini,,
oreochromis spp (fau),fish,,actinopterygii,cichliformes,cichlidae,oreochromini,,
nile tilapia (oreochromis niloticus):cichlidae-farmed fish,fish,nile tilapia,actinopterygii,cichliformes,cichlidae,oreochromis,niloticus,
oreochromis niloticus,fish,nile tilapia,actinopterygii,cichliformes,cichlidae,oreochromis,niloticus,
banded tilapia (tilapia sparrmanii (fau)):cichlidae-wild fish,fish,banded tilapia,actinopterygii,cichliformes,cichlidae,tilapia,sparrmanii,
tilapia sparrmanii (fau),fish,banded tilapia,actinopterygii,cichliformes,cichlidae,tilapia,sparrmanii,
dorsoma cepedianum,fish,,actinopterygii,clupeiformes,dorosomatidae,dorsoma,cepedianum,
dorsoma cepedianum (fau),fish,,actinopterygii,clupeiformes,dorosomatidae,dorsoma,cepedianum,
moxostoma anisurum,fish,silver redhorse,actinopterygii,cypriniformes,catostomidae,moxostoma,anisurum,
moxostoma anisurum (fau),fish,silver redhorse,actinopterygii,cypriniformes,catostomidae,moxostoma,anisurum,
moxostoma macrolepidotum,fish,shorthead redhorse,actinopterygii,cypriniformes,catostomidae,moxostoma,macrolepidotum,
moxostoma macrolepidotum (fau),fish,shorthead redhorse,actinopterygii,cypriniformes,catostomidae,moxostoma,macrolepidotum,
carassius auratus,fish,goldfish,actinopterygii,cypriniformes,cyprinidae,carassius,auratus,
common carp (cyprinus carpio (fau)):cyprinidae-wild fish,fish,common carp,actinopterygii,cypriniformes,cyprinidae,cyprinus,carpio,
common carp (cyprinus carpio):cyprinidae-farmed fish,fish,common carp,actinopterygii,cypriniformes,cyprinidae,cyprinus,carpio,
cyprinus carpio,fish,common carp,actinopterygii,cypriniformes,cyprinidae,cyprinus,carpio,
cyprinus carpio (fau),fish,common carp,actinopterygii,cypriniformes,cyprinidae,cyprinus,carpio,
amur carp (cyprinus rubrofuscus):cyprinidae-farmed fish,fish,,actinopterygii,cypriniformes,cyprinidae,cyprinus,rubrofuscus,
cyprinus rubrofuscus,fish,,actinopterygii,cypriniformes,cyprinidae,cyprinus,rubrofuscus,
straightfin barb (barbus paludinosus (fau)):cyprinidae-wild fish,fish,straightfin barb,actinopterygii,cypriniformes,cyprinidae,enteromius,paludinosus,
barbus paludinosus (fau),fish,straightfin barb,actinopterygii,cypriniformes,cyprinidae,enteromius,paludinosus,genus updated to enteromius
dashtail barb (barbus poechii (fau)):cyprinidae-wild fish,fish,,actinopterygii,cypriniformes,cyprinidae,enteromius,poechii,aka barbus poechii
barbus poechii (fau),fish,,actinopterygii,cypriniformes,cyprinidae,enteromius,poechii,genus updated to enteromius
labeo capensis (fau),fish,,actinopterygii,cypriniformes,cyprinidae,labeo,capensis,
esox lucius,fish,northern pike,actinopterygii,esociformes,esocidae,esox,lucius,
esox lucius (fau),fish,northern pike,actinopterygii,esociformes,esocidae,esox,lucius,
esox masquinongy,fish,muskellunge,actinopterygii,esociformes,esocidae,esox,masquinongy,
esox masquinongy (fau),fish,muskellunge,actinopterygii,esociformes,esocidae,esox,masquinongy,
gadus morhua (fau),fish,atlantic cod,actinopterygii,gadiformes,gadidae,gadus,morhua,
caffrogobius nudiceps (fau),fish,,actinopterygii,gobiiformes,gobiidae,caffrogobius,nudiceps,
neogobius melanostomus,fish,round goby,actinopterygii,gobiiformes,gobiidae,neogobius,melanostomus,
neogobius melanostomus (fau),fish,round goby,actinopterygii,gobiiformes,gobiidae,neogobius,melanostomus,
cuckoo wrasse (labrus mixtus):labridae-farmed fish,fish,cuckoo wrasse,actinopterygii,labriformes,labridae,labrus,mixtus,
labrus mixtus,fish,cuckoo wrasse,actinopterygii,labriformes,labridae,labrus,mixtus,
bass (dicentrarchus labrax (fau)):moronidae-wild fish,fish,european seabass,actinopterygii,moroniformes,moronidae,dicentrarchus,labrax,
dicentrarchus labrax (fau),fish,european seabass,actinopterygii,moroniformes,moronidae,dicentrarchus,labrax,
morone chrysops,fish,white bass,actinopterygii,moroniformes,moronidae,morone,chrysops,
morone chrysops (fau),fish,white bass,actinopterygii,moroniformes,moronidae,morone,chrysops,
bluegill (lepomis macrochirus (fau)):centrarchidae-wild fish,fish,bluegill,actinopterygii,perciformes,centrarchidae,lepomis,macrochirus,
bluegill (lepomis macrochirus):centrarchidae-farmed fish,fish,bluegill,actinopterygii,perciformes,centrarchidae,lepomis,macrochirus,
lepomis macrochirus,fish,bluegill,actinopterygii,perciformes,centrarchidae,lepomis,macrochirus,
lepomis macrochirus (fau),fish,bluegill,actinopterygii,perciformes,centrarchidae,lepomis,macrochirus,
smallmouth bass (micropterus dolomieu):centrarchidae-farmed fish,fish,smallmouth bass,actinopterygii,perciformes,centrarchidae,micropterus,dolomieu,
micropterus dolomieu,fish,smallmouth bass,actinopterygii,perciformes,centrarchidae,micropterus,dolomieu,
micropterus dolomieu (fau),fish,smallmouth bass,actinopterygii,perciformes,centrarchidae,micropterus,dolomieu,
micropterus salmoides,fish,largemouth bass,actinopterygii,perciformes,centrarchidae,micropterus,salmoides,
black crappie (pomoxis nigromaculatus):centrarchidae-farmed fish,fish,black crappie,actinopterygii,perciformes,centrarchidae,pomoxis,nigromaculatus,
pomoxis nigromaculatus,fish,black crappie,actinopterygii,perciformes,centrarchidae,pomoxis,nigromaculatus,
lates calcarifer,fish,barramundi perch,actinopterygii,perciformes,latidae,lates,calcarifer,
perca flavescens,bird,yellow perch,actinopterygii,perciformes,percidae,perca,flavescens,
perca flavescens (fau),bird,yellow perch,actinopterygii,perciformes,percidae,perca,flavescens,
stizostedion vitreum,fish,walleye,actinopterygii,perciformes,percidae,sander,vitreus,genus updated to sander. Species updated to vitreus
stizostedion vitreum (fau),fish,walleye,actinopterygii,perciformes,percidae,sander,vitreus,genus updated to sander. Species updated to vitreus
cichlidae (unidentified) (cichlidae (fau) (incognita)):cichlidae-wild fish,fish,cichlids,actinopterygii,percomorpha,cichliformes,cichlidae,,
cichlidae (fau) (incognita),fish,cichlids,actinopterygii,percomorpha,cichliformes,cichlidae,,
rainbow trout (oncorhynchus mykiss (fau)):salmonidae-wild fish,fish,rainbow trout,actinopterygii,salmoniformes,salmonidae,oncorhynchus,mykiss,
rainbow trout (oncorhynchus mykiss):salmonidae-farmed fish,fish,rainbow trout,actinopterygii,salmoniformes,salmonidae,oncorhynchus,mykiss,
oncorhynchus mykiss,fish,rainbow trout,actinopterygii,salmoniformes,salmonidae,oncorhynchus,mykiss,
oncorhynchus mykiss (fau),fish,rainbow trout,actinopterygii,salmoniformes,salmonidae,oncorhynchus,mykiss,
marble trout (salmo marmoratus):salmonidae-farmed fish,fish,,actinopterygii,salmoniformes,salmonidae,salmo,marmoratus,
salmo marmoratus,fish,,actinopterygii,salmoniformes,salmonidae,salmo,marmoratus,
atlantic salmon (salmo salar):salmonidae-farmed fish,fish,atlantic salmon,actinopterygii,salmoniformes,salmonidae,salmo,salar,
salmo salar,fish,atlantic salmon,actinopterygii,salmoniformes,salmonidae,salmo,salar,
salmo salar (fau),fish,atlantic salmon,actinopterygii,salmoniformes,salmonidae,salmo,salar,
brown trout (salmo trutta):salmonidae-farmed fish,fish,river trout,actinopterygii,salmoniformes,salmonidae,salmo,trutta,
salmo trutta,fish,river trout,actinopterygii,salmoniformes,salmonidae,salmo,trutta,
salmonidae (unidentified) (salmonidae (incognita)):salmonidae-farmed fish,fish,,actinopterygii,salmoniformes,salmonidae,,,
salmonidae (incognita),fish,,actinopterygii,salmoniformes,salmonidae,,,
cyclopterus lumpus (fau),fish,lumpfish,actinopterygii,scorpaeniformes,cyclopteridae,cyclopterus,lumpus,
inimicus japonicus,fish,devil stinger,actinopterygii,scorpaeniformes,scorpaenidae,inimicus,japonicus,
red lionfish (pterois volitans (fau)):scorpaenidae-wild fish,fish,red lionfish,actinopterygii,scorpaeniformes,scorpaenidae,pterois,volitans,
pterois volitans (fau),fish,red lionfish,actinopterygii,scorpaeniformes,scorpaenidae,pterois,volitans,
african sharptooth catfish (clarias gariepinus (fau)):clariidae-wild fish,fish,north african catfish,actinopterygii,siluriformes,clariidae,clarias,gariepinus,
clarias gariepinus (fau),fish,north african catfish,actinopterygii,siluriformes,clariidae,clarias,gariepinus,
clarias gariepinus,fish,north african catfish,actinopterygii,siluriformes,clariidae,clarias,gariepinus,
ameiurus nebulosus (fau),fish,brown bullhead,actinopterygii,siluriformes,ictaluridae,ameiurus,nebulosus,
mochokidae (unidentified) (mochokidae (fau) (incognita)):mochokidae (fau)-wild fish,fish,,actinopterygii,siluriformes,mochokidae,,,
mochokidae (unidentified) (mochokidae (fau) (incognita)):-wild fish,fish,,actinopterygii,siluriformes,mochokidae,,,
mochokidae (fau) (incognita),fish,,actinopterygii,siluriformes,mochokidae,,,
clarias ngamensis (fau),fish,,actinopterygii,suliformes,clariidae,clarias,ngamensis,
clarias ngamensis (fau) (clarias ngamensis (fau)):clariidae-wild fish,fish,,actinopterygii,suliformes,clariidae,clarias,,
silver catfish (schilbe intermedius (fau)):schilbeidae-wild fish,fish,,actinopterygii,suliformes,schilbeidae,schilbe,intermedius,
schilbe intermedius (fau),fish,,actinopterygii,suliformes,schilbeidae,schilbe,intermedius,
common clownfish (amphiprion ocellaris (fau)):pomacentridae-wild fish,fish,clown anemonefish,actinopterygii,,pomacentridae,amphiprion,ocellaris,Order is uncertain (incertae sedis)
amphiprion ocellaris (fau),fish,clown anemonefish,actinopterygii,,pomacentridae,amphiprion,ocellaris,Order is uncertain (incertae sedis)
pink skunk clownfish (amphiprion perideraion (fau)):pomacentridae-wild fish,fish,pink anemonefish,actinopterygii,,pomacentridae,amphiprion,perideraion,Order is uncertain (incertae sedis)
amphiprion perideraion (fau),fish,pink anemonefish,actinopterygii,,pomacentridae,amphiprion,perideraion,Order is uncertain (incertae sedis)
common toad (bufo bufo (fau)):bufonidae-wild amphibians,toad,common toad,amphibia,anura,bufonidae,bufo,bufo,
bufo bufo (fau),toad,common toad,amphibia,anura,bufonidae,bufo,bufo,
european green toad (bufo viridis (fau)):bufonidae-wild amphibians,toad,european green toad,amphibia,anura,bufonidae,bufotes,viridis,genus updated to bufotes
bufo viridis (fau),toad,european green toad,amphibia,anura,bufonidae,bufotes,viridis,
pelophylax esculentus (fau),frog,pool frog,amphibia,anura,ranidae,pelophylax,esculentus,
american bullfrog (rana catesbeiana):ranidae-farmed amphibians,frog,,amphibia,anura,ranidae,rana,catesbeianus,
rana catesbeiana,frog,,amphibia,anura,ranidae,rana,catesbeianus,
rana temporaria (fau),frog,common frog,amphibia,anura,ranidae,rana,temporaria,
andrias davidianus (fau),salamander,chinese giant salamander,amphibia,urodela,cryptobranchidae,andrias,davidianus,
cooper's hawk (accipiter cooperii):accipitridae-accipitriformes,bird,cooper's hawk,aves,accipitriformes,accipitridae,accipiter,cooperii,
accipiter cooperii,bird,cooper's hawk,aves,accipitriformes,accipitridae,accipiter,cooperii,
northern goshawk (accipiter gentilis):accipitridae-accipitriformes,bird,northern goshawk,aves,accipitriformes,accipitridae,accipiter,gentilis,
accipiter gentilis,bird,northern goshawk,aves,accipitriformes,accipitridae,accipiter,gentilis,
eurasian sparrowhawk (accipiter nisus):accipitridae-accipitriformes,bird,eurasian sparrowhawk,aves,accipitriformes,accipitridae,accipiter,nisus,
accipiter nisus,bird,eurasian sparrowhawk,aves,accipitriformes,accipitridae,accipiter,nisus,
accipiter striatus,bird,sharp-shinned hawk,aves,accipitriformes,accipitridae,accipiter,striatus,
aquila audax,bird,wedge-tailed eagle,aves,accipitriformes,accipitridae,aquila,audax,
golden eagle (aquila chrysaetos):accipitridae-accipitriformes,bird,golden eagle,aves,accipitriformes,accipitridae,aquila,chrysaetos,
aquila chrysaetos,bird,golden eagle,aves,accipitriformes,accipitridae,aquila,chrysaetos,
aquila fasciata,bird,,aves,accipitriformes,accipitridae,aquila,fasciata,
hieraaã«tus fasciatus,bird,,aves,accipitriformes,accipitridae,aquila,fasciata,"best guess is Bonelli's eagle, Hieraaetus fasciatus. Genus updated to aquila. Species updated to fasciata"
imperial eagle (aquila heliaca):accipitridae-accipitriformes,bird,,aves,accipitriformes,accipitridae,aquila,heliaca,
aquila heliaca,bird,,aves,accipitriformes,accipitridae,aquila,heliaca,
steppe eagle (aquila nipalensis):accipitridae-accipitriformes,bird,steppe eagle,aves,accipitriformes,accipitridae,aquila,nipalensis,
aquila nipalensis,bird,steppe eagle,aves,accipitriformes,accipitridae,aquila,nipalensis,
eurasian buzzard (common buzzard) (buteo buteo):accipitridae-accipitriformes,bird,common buzzard,aves,accipitriformes,accipitridae,buteo,buteo,
buteo buteo,bird,common buzzard,aves,accipitriformes,accipitridae,buteo,buteo,
red-tailed hawk (buteo jamaicensis):accipitridae-accipitriformes,bird,red-tailed hawk,aves,accipitriformes,accipitridae,buteo,jamaicensis,
buteo jamaicensis,bird,red-tailed hawk,aves,accipitriformes,accipitridae,buteo,jamaicensis,
eastern buzzard (buteo japonicus):accipitridae-accipitriformes,bird,,aves,accipitriformes,accipitridae,buteo,japonicus,
buteo japonicus,bird,,aves,accipitriformes,accipitridae,buteo,japonicus,
rough-legged hawk (buteo lagopus):accipitridae-accipitriformes,bird,rough-legged hawk,aves,accipitriformes,accipitridae,buteo,lagopus,
buteo lagopus,bird,rough-legged hawk,aves,accipitriformes,accipitridae,buteo,lagopus,
red-shouldered hawk (buteo lineatus):accipitridae-accipitriformes,bird,red-shouldered hawk,aves,accipitriformes,accipitridae,buteo,lineatus,
buteo lineatus,bird,red-shouldered hawk,aves,accipitriformes,accipitridae,buteo,lineatus,
broad-winged hawk (buteo platypterus):accipitridae-accipitriformes,bird,broad-winged hawk,aves,accipitriformes,accipitridae,buteo,platypterus,
buteo platypterus,bird,broad-winged hawk,aves,accipitriformes,accipitridae,buteo,platypterus,
jackal buzzard (buteo rufofuscus):accipitridae-accipitriformes,bird,jackal buzzard,aves,accipitriformes,accipitridae,buteo,rufofuscus,
buteo rufofuscus,bird,jackal buzzard,aves,accipitriformes,accipitridae,buteo,rufofuscus,
swainson's hawk (buteo swainsoni):accipitridae-accipitriformes,bird,swainson's hawk,aves,accipitriformes,accipitridae,buteo,swainsoni,
buteo swainsoni,bird,swainson's hawk,aves,accipitriformes,accipitridae,buteo,swainsoni,
western marsh harrier (circus aeruginosus):accipitridae-accipitriformes,bird,western marsh harrier,aves,accipitriformes,accipitridae,circus,aeruginosus,
circus aeruginosus,bird,western marsh harrier,aves,accipitriformes,accipitridae,circus,aeruginosus,
circus assimilis,bird,,aves,accipitriformes,accipitridae,circus,assimillis,
northern harrier (circus cyaneus):accipitridae-accipitriformes,bird,northern harrier,aves,accipitriformes,accipitridae,circus,cyaneus,
circus cyaneus,bird,northern harrier,aves,accipitriformes,accipitridae,circus,cyaneus,
montagu's harrier (circus pygargus):accipitridae-accipitriformes,bird,,aves,accipitriformes,accipitridae,circus,pygargus,
circus pygargus,bird,,aves,accipitriformes,accipitridae,circus,pygargus,
lesser spotted eagle (clanga pomarina):accipitridae-accipitriformes,bird,lesser spotted eagle,aves,accipitriformes,accipitridae,clanga,pomarina,
clanga pomarina,bird,lesser spotted eagle,aves,accipitriformes,accipitridae,clanga,pomarina,
geranoaetus melanoleucus,bird,black-chested buzzard-eagle,aves,accipitriformes,accipitridae,geranoaetus,melanoleucus,
buteo polyosoma,bird,,aves,accipitriformes,accipitridae,geranoaetus,polyosoma,genus updated to geranoeatus
gypaetus barbatus,bird,lammergeier,aves,accipitriformes,accipitridae,gypaetus,barbatus,
gyps africanus,bird,white-backed vulture,aves,accipitriformes,accipitridae,gyps,africanus,
eurasian griffon (gyps fulvus):accipitridae-accipitriformes,bird,eurasian griffon,aves,accipitriformes,accipitridae,gyps,fulvus,
gyps fulvus,bird,eurasian griffon,aves,accipitriformes,accipitridae,gyps,fulvus,
white-tailed eagle (haliaeetus albicilla):accipitridae-accipitriformes,bird,white-tailed eagle,aves,accipitriformes,accipitridae,haliaeetus,albicilla,
haliaeetus albicilla,bird,white-tailed eagle,aves,accipitriformes,accipitridae,haliaeetus,albicilla,
bald eagle (haliaeetus leucocephalus):accipitridae-accipitriformes,bird,bald eagle,aves,accipitriformes,accipitridae,haliaeetus,leucocephalus,
haliaeetus leucocephalus,bird,bald eagle,aves,accipitriformes,accipitridae,haliaeetus,leucocephalus,
steller's sea eagle (haliaeetus pelagicus):accipitridae-accipitriformes,bird,steller's sea-eagle,aves,accipitriformes,accipitridae,haliaeetus,pelagicus,
haliaeetus pelagicus,bird,steller's sea-eagle,aves,accipitriformes,accipitridae,haliaeetus,pelagicus,
african fish eagle (haliaeetus vocifer):accipitridae-accipitriformes,bird,,aves,accipitriformes,accipitridae,icthyophaga,vocifer,genus updated to Icthyophaga
haliaeetus vocifer,bird,,aves,accipitriformes,accipitridae,icthyophaga,vocifer,
black kite (milvus migrans):accipitridae-accipitriformes,bird,black kite,aves,accipitriformes,accipitridae,milvus,migrans,
milvus migrans,bird,black kite,aves,accipitriformes,accipitridae,milvus,migrans,
red kite (milvus milvus):accipitridae-accipitriformes,bird,red kite,aves,accipitriformes,accipitridae,milvus,milvus,
milvus milvus,bird,red kite,aves,accipitriformes,accipitridae,milvus,milvus,
osprey (pandion haliaetus):accipitridae-accipitriformes,bird,,aves,accipitriformes,accipitridae,pandion,haliaetus,
pandion haliaetus,bird,,aves,accipitriformes,accipitridae,pandion,haliaetus,
harris's hawk (parabuteo unicinctus):accipitridae-accipitriformes,bird,harris's hawk,aves,accipitriformes,accipitridae,parabuteo,unicinctus,
parabuteo unicinctus,bird,harris's hawk,aves,accipitriformes,accipitridae,parabuteo,unicinctus,
spilornis cheela,bird,crested serpent eagle,aves,accipitriformes,accipitridae,spilornis,cheela,
mountain hawk-eagle (spizaetus nipalensis):accipitridae-accipitriformes,bird,mountain hawk-eagle,aves,accipitriformes,accipitridae,spizaetus,nipalensis,
spizaetus nipalensis,bird,mountain hawk-eagle,aves,accipitriformes,accipitridae,spizaetus,nipalensis,
accipitridae (unidentified) (accipitridae (incognita)):accipitridae-accipitriformes,bird,,aves,accipitriformes,accipitridae,,,
accipitridae (incognita),bird,,aves,accipitriformes,accipitridae,,,
turkey vulture (cathartes aura):cathartidae-accipitriformes,bird,turkey vulture,aves,accipitriformes,cathartidae,cathartes,aura,
cathartes aura,bird,turkey vulture,aves,accipitriformes,cathartidae,cathartes,aura,
coragyps atratus,bird,black vulture,aves,accipitriformes,cathartidae,coragyps,atratus,
vultur gryphus,bird,andean condor,aves,accipitriformes,cathartidae,vultur,gryphus,
secretary bird (sagittarius serpentarius):sagittariidae-accipitriformes,bird,,aves,accipitriformes,sagittariidae,sagittarius,serpentarius,
sagittarius serpentarius,bird,,aves,accipitriformes,sagittariidae,sagittarius,serpentarius,
mandarin duck (aix galericulata):anatidae-anseriformes,bird,mandarin duck,aves,anseriformes,anatidae,aix,galericulata,
aix galericulata,bird,mandarin duck,aves,anseriformes,anatidae,aix,galericulata,
wood duck (aix sponsa):anatidae-anseriformes,bird,wood duck,aves,anseriformes,anatidae,aix,sponsa,
aix sponsa,bird,wood duck,aves,anseriformes,anatidae,aix,sponsa,
egyptian goose (alopochen aegyptiaca):anatidae-anseriformes,bird,egyptian goose,aves,anseriformes,anatidae,alopochen,aegyptiaca,
alopochen aegyptiaca,bird,egyptian goose,aves,anseriformes,anatidae,alopochen,aegyptiaca,
northern pintail (anas acuta):anatidae-anseriformes,bird,northern pintail,aves,anseriformes,anatidae,anas,acuta,
anas acuta,bird,northern pintail,aves,anseriformes,anatidae,anas,acuta,
bernier's teal (anas bernieri):anatidae-anseriformes,bird,,aves,anseriformes,anatidae,anas,bernieri,
anas bernieri,bird,,aves,anseriformes,anatidae,anas,bernieri,
green-winged teal (anas carolinensis):anatidae-anseriformes,bird,green-winged teal,aves,anseriformes,anatidae,anas,carolinensis,
anas carolinensis,bird,green-winged teal,aves,anseriformes,anatidae,anas,carolinensis,
northern shoveler (anas clypeata):anatidae-anseriformes,bird,,aves,anseriformes,anatidae,anas,clypeata,
anas clypeata,bird,,aves,anseriformes,anatidae,anas,clypeata,
common teal (anas crecca):anatidae-anseriformes,bird,common teal,aves,anseriformes,anatidae,anas,crecca,
anas crecca,bird,common teal,aves,anseriformes,anatidae,anas,crecca,
anas cyanoptera,bird,cinnamon teal,aves,anseriformes,anatidae,anas,cyanoptera,
blue winged teal (anas discors):anatidae-anseriformes,bird,blue-winged teal,aves,anseriformes,anatidae,anas,discors,
anas discors,bird,blue-winged teal,aves,anseriformes,anatidae,anas,discors,
falcated duck (anas falcata):anatidae-anseriformes,bird,falcated duck,aves,anseriformes,anatidae,anas,falcata,
anas falcata,bird,falcated duck,aves,anseriformes,anatidae,anas,falcata,
anas fulvigula,bird,,aves,anseriformes,anatidae,anas,fulvigula,
eurasian wigeon (anas penelope):anatidae-anseriformes,bird,eurasian wigeon,aves,anseriformes,anatidae,anas,penelope,
anas penelope,bird,eurasian wigeon,aves,anseriformes,anatidae,anas,penelope,
mallard (anas platyrhynchos):anatidae-anseriformes,bird,mallard,aves,anseriformes,anatidae,anas,platyrhynchos,
anas platyrhynchos,bird,mallard,aves,anseriformes,anatidae,anas,platyrhynchos,
spot-billed duck (anas poecilorhyncha):anatidae-anseriformes,bird,indian spot-billed duck,aves,anseriformes,anatidae,anas,poecilorhyncha,
anas poecilorhyncha,bird,indian spot-billed duck,aves,anseriformes,anatidae,anas,poecilorhyncha,
garganey (anas querquedula):anatidae-anseriformes,bird,garganey,aves,anseriformes,anatidae,anas,querquedula,
anas querquedula,bird,garganey,aves,anseriformes,anatidae,anas,querquedula,
american black duck (anas rubripes):anatidae-anseriformes,bird,american black duck,aves,anseriformes,anatidae,anas,rubripes,
anas rubripes,bird,american black duck,aves,anseriformes,anatidae,anas,rubripes,
gadwall (anas strepera):anatidae-anseriformes,bird,gadwall,aves,anseriformes,anatidae,anas,strepera,
anas strepera,bird,gadwall,aves,anseriformes,anatidae,anas,strepera,
yellow-billed duck (anas undulata):anatidae-anseriformes,bird,,aves,anseriformes,anatidae,anas,undulata,
anas undulata,bird,,aves,anseriformes,anatidae,anas,undulata,
silver teal (anas versicolor):anatidae-anseriformes,bird,,aves,anseriformes,anatidae,anas,versicolor,
anas versicolor,bird,,aves,anseriformes,anatidae,anas,versicolor,
greater white-fronted goose (anser albifrons):anatidae-anseriformes,bird,white-fronted goose,aves,anseriformes,anatidae,anser,albifrons,
anser albifrons,bird,white-fronted goose,aves,anseriformes,anatidae,anser,albifrons,
greylag goose (anser anser):anatidae-anseriformes,bird,domestic goose,aves,anseriformes,anatidae,anser,anser,
anser anser,bird,domestic goose,aves,anseriformes,anatidae,anser,anser,
pink-footed goose (anser brachyrhynchus):anatidae-anseriformes,bird,pink-footed goose,aves,anseriformes,anatidae,anser,brachyrhynchus,
anser brachyrhynchus,bird,pink-footed goose,aves,anseriformes,anatidae,anser,brachyrhynchus,
snow goose (anser caerulescens):anatidae-anseriformes,bird,snow goose,aves,anseriformes,anatidae,anser,caerulescens,
anser caerulescens,bird,snow goose,aves,anseriformes,anatidae,anser,caerulescens,
anser cygnoides,bird,swan goose,aves,anseriformes,anatidae,anser,cygnoides,
lesser white-fronted goose (anser erythropus):anatidae-anseriformes,bird,lesser white-fronted goose,aves,anseriformes,anatidae,anser,erythropus,
anser erythropus,bird,lesser white-fronted goose,aves,anseriformes,anatidae,anser,erythropus,
bean goose (anser fabalis):anatidae-anseriformes,bird,taiga bean goose,aves,anseriformes,anatidae,anser,fabalis,
anser fabalis,bird,taiga bean goose,aves,anseriformes,anatidae,anser,fabalis,
bar-headed goose (anser indicus):anatidae-anseriformes,bird,bar-headed goose,aves,anseriformes,anatidae,anser,indicus,
anser indicus,bird,bar-headed goose,aves,anseriformes,anatidae,anser,indicus,
ross's goose (anser rossii):anatidae-anseriformes,bird,ross' goose,aves,anseriformes,anatidae,anser,rossii,
anser rossii,bird,ross' goose,aves,anseriformes,anatidae,anser,rossii,
lesser scaup (aythya affinis):anatidae-anseriformes,bird,lesser scaup,aves,anseriformes,anatidae,aythya,affinis,
aythya affinis,bird,lesser scaup,aves,anseriformes,anatidae,aythya,affinis,
redhead (aythya americana):anatidae-anseriformes,bird,redhead,aves,anseriformes,anatidae,aythya,americana,
aythya americana,bird,redhead,aves,anseriformes,anatidae,aythya,americana,
aythya baeri,bird,baer's pochard,aves,anseriformes,anatidae,aythya,baeri,
ring-necked duck (aythya collaris):anatidae-anseriformes,bird,ring-necked duck,aves,anseriformes,anatidae,aythya,collaris,
aythya collaris,bird,ring-necked duck,aves,anseriformes,anatidae,aythya,collaris,
common pochard (aythya ferina):anatidae-anseriformes,bird,common pochard,aves,anseriformes,anatidae,aythya,ferina,
aythya ferina,bird,common pochard,aves,anseriformes,anatidae,aythya,ferina,
tufted duck (aythya fuligula):anatidae-anseriformes,bird,tufted duck,aves,anseriformes,anatidae,aythya,fuligula,
aythya fuligula,bird,tufted duck,aves,anseriformes,anatidae,aythya,fuligula,
greater scaup (aythya marila):anatidae-anseriformes,bird,greater scaup,aves,anseriformes,anatidae,aythya,marila,
aythya marila,bird,greater scaup,aves,anseriformes,anatidae,aythya,marila,
ferruginous pochard (aythya nyroca):anatidae-anseriformes,bird,,aves,anseriformes,anatidae,aythya,nyroca,
aythya nyroca,bird,,aves,anseriformes,anatidae,aythya,nyroca,
brent goose (branta bernicla):anatidae-anseriformes,bird,,aves,anseriformes,anatidae,branta,bernicla,
branta bernicla,bird,,aves,anseriformes,anatidae,branta,bernicla,
canada goose (branta canadensis):anatidae-anseriformes,bird,canada goose,aves,anseriformes,anatidae,branta,canadensis,
branta canadensis,bird,canada goose,aves,anseriformes,anatidae,branta,canadensis,
cackling goose (branta hutchinsii):anatidae-anseriformes,bird,cackling goose,aves,anseriformes,anatidae,branta,hutchinsii,
branta hutchinsii,bird,cackling goose,aves,anseriformes,anatidae,branta,hutchinsii,
barnacle goose (branta leucopsis):anatidae-anseriformes,bird,barnacle goose,aves,anseriformes,anatidae,branta,leucopsis,
branta leucopsis,bird,barnacle goose,aves,anseriformes,anatidae,branta,leucopsis,
red-breasted goose (branta ruficollis):anatidae-anseriformes,bird,,aves,anseriformes,anatidae,branta,ruficollis,
branta ruficollis,bird,,aves,anseriformes,anatidae,branta,ruficollis,
