disease,standardized_disease_name,source,alt,group,order,family,genus,species,abbreviation,details,details1,details2,vector
viral haemorrhagic disease,viral hemorrhagic septicemia,oie,viral hemorrhagic septicemia,virus,Picornavirales,Caliciviridae,Lagovirus,Rabbit hemorrhagic disease virus,RHDV,RNA,single-stranded,positive-sense,
viral hemorrhagic septicemia,viral hemorrhagic septicemia,oie,viral haemorrhagic disease,virus,Picornavirales,Caliciviridae,Lagovirus,Rabbit hemorrhagic disease virus,RHDV,RNA,single-stranded,positive-sense,
red sea bream iridoviral disease rsivd,red sea bream iridoviral disease rsivd,oie,,virus,Pimascovirales,Iridoviridae,Iridovirus,Red sea bream iridovirus,RSIV,DNA,double-stranded,,
Rift Valley Fever,rift valley fever,aido,rift valley fever,virus,Bunyavirales,Phenuiviridae,Phlebovirus,Rift Valley fever phlebovirus,RVF,RNA,single-stranded,ambi-sense,mosquito
rift valley fever,rift valley fever,oie,Rift Valley Fever,virus,Bunyavirales,Phenuiviridae,Phlebovirus,Rift Valley fever phlebovirus,RVF,RNA,single-stranded,ambi-sense,mosquito
Rubella,rubella,aido,three-day measles,virus,Hepelivirales,Matonaviridae,Rubivirus,Rubivirus rubellae,RuV,RNA,single-stranded,positive-sense,
heartwater,heartwater,oie,cowdriosis,bacteria,Rickettsiales,Ehrlichiaceae,Ehrlichia,ruminantium,,gram-negative,aerobic,,tick
gyrodactylosis,gyrodactylosis,oie,Gyrodactylus,eukaryote,Gyrodactylidea,Gyrodactylidae,Gyrodactylus,salaris,,platyhelminth,,,na
infectious salmon anaemia,infectious salmon anaemia,oie,,virus,Articulavirales,Orthomyxoviridae,Isavirus,Salmon isavirus,ISA,RNA,single-stranded,negative-sense,
infectious haematopoietic necrosis,infectious haematopoietic necrosis,oie,,virus,Mononegavirales,Rhabdoviridae,Novirhabdovirus,Salmonid novirhabdovirus,IHNV,RNA,single-stranded,negative-sense,
schmallenberg virus,schmallenberg virus,oie,,virus,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Schmallenberg orthobunyavirus,SBV,RNA,single-stranded,negative-sense,
